LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,BILL_SLOPE,PAY_SLOPE,DELINQUENCY_PERSISTENCE,MAX_DELINQUENCY,REPAYMENT_RATIO,REPAYMENT_STABILITY,UTILIZATION_RATE,UTILIZATION_TREND,ID,True_Label,Prediction_Score,Base_Value,SHAP_LIMIT_BAL,SHAP_SEX,SHAP_EDUCATION,SHAP_MARRIAGE,SHAP_AGE,SHAP_PAY_1,SHAP_PAY_2,SHAP_PAY_3,SHAP_PAY_4,SHAP_PAY_5,SHAP_PAY_6,SHAP_BILL_AMT1,SHAP_BILL_AMT2,SHAP_BILL_AMT3,SHAP_BILL_AMT4,SHAP_BILL_AMT5,SHAP_BILL_AMT6,SHAP_PAY_AMT1,SHAP_PAY_AMT2,SHAP_PAY_AMT3,SHAP_PAY_AMT4,SHAP_PAY_AMT5,SHAP_PAY_AMT6,SHAP_BILL_SLOPE,SHAP_PAY_SLOPE,SHAP_DELINQUENCY_PERSISTENCE,SHAP_MAX_DELINQUENCY,SHAP_REPAYMENT_RATIO,SHAP_REPAYMENT_STABILITY,SHAP_UTILIZATION_RATE,SHAP_UTILIZATION_TREND
180000.0,2,1,2,30,0,0,0,0,0,0,113647.0,52992.0,38394.0,30332.0,110824.0,99661.0,3000.0,3170.0,2000.0,100000.0,5000.0,4000.0,-2728.685714285726,-3099.7142857142903,0,0,0.2628008011645146,39435.80627636091,0.4128217806197373,-0.01515928086113813,2762,0,0.06644143991736758,-1.3851942894421188,-0.10544000709466733,-0.0035585797186935596,-0.02780137613292926,-0.047626473376700985,-0.04454882913048073,-0.1460810373576982,-0.013931127941814243,0.00016033704572578536,-0.03372905317409576,-0.0008461573095290645,-0.0037044769944352468,0.014075757380476384,-0.02935125147373544,0.013272776353835555,-0.009219387641245793,0.0026510838848559965,0.036992380484113525,0.0016502801417689946,-0.04072082282474347,0.02509640196847807,0.009084326480658867,-0.05730034721457881,0.02032536848301516,0.04793769626058308,-0.007644213862436156,-0.11892807635980226,-0.3080022134618749,-0.14195697556706052,-0.15751713927114575,-0.15919471361825635,0.02836740468380978
70000.0,1,1,2,43,0,0,0,0,0,0,68228.0,65935.0,67454.0,67592.0,36515.0,37426.0,2378.0,2600.0,2613.0,1500.0,1500.0,1500.0,6918.05714285714,251.5142857142855,0,0,0.03523521714930162,570.4862545817092,0.8170121379218391,0.09882797592687445,16708,0,0.14227598877592507,-1.3851942894421188,-0.041984823708224935,0.03862060371145721,-0.03481124064142769,-0.05534486038420436,0.004022643091432071,-0.13814031040262267,-0.01418840953406383,0.006076698669849823,-0.009827762805878241,-0.004065610349919703,-0.014059732932356808,-0.08239116658106714,-0.03812640679232123,0.022600476939568855,0.05014002001853652,-0.06768673799100526,0.04414543587669525,0.015791970510637496,0.09190904774192836,-0.048534627626402,-0.01069165175365547,-0.034568129403554734,0.02637248552230348,-0.03785945981565026,-0.032452017821177875,-0.12906878916292105,-0.2545689024338758,0.06181199957702439,-0.15508257098454453,0.25969896410781035,0.17094352651390107
50000.0,1,2,2,24,2,0,0,0,0,0,47121.0,46623.0,46693.0,31040.0,30669.0,30218.0,1950.0,1949.0,1482.0,1040.0,913.0,779.0,4229.428571428569,268.71428571428567,1,2,0.034914896821810516,519.4818251552856,0.7745311760431458,0.08458687969097753,20431,0,0.5240637673269603,-1.3851942894421188,0.01323886218259637,0.031296292489557176,0.024177057335492337,-0.03967507358681856,0.017552744066381052,0.9330794695495898,-0.01728495610327719,0.003968082709897842,-0.0009783156070536994,0.0011251969768277968,-0.06739474990449733,-0.08035794236084737,0.010117373797266644,0.027054921956336016,-0.02160340680259757,-0.012006265020459775,-0.003869870029141116,0.018426806615778415,0.031347439505059596,-0.06076276357319717,-0.014713282161141764,-0.021059586983080004,0.03919110496676124,-0.07265999959655506,-0.05958166238887458,0.0653527823975963,0.8475233869251557,0.10693308643710543,-0.10583273367552452,-0.013519252557325397,-0.09756096811452972
110000.0,2,2,2,23,-1,0,0,0,0,0,37857.0,39117.0,34330.0,12207.0,71932.0,73769.0,2000.0,3000.0,1500.0,71392.0,3000.0,3500.0,-7310.914285714294,-2211.2000000000035,0,0,0.3134766894615045,28093.828693623564,0.40789326157640987,-0.0664622529405578,16186,0,0.06602207575444924,-1.3851942894421188,-0.08518555845336015,-0.0224595383468383,0.023121490647666606,-0.03313954586728085,-0.030159942438839238,-0.1638221479156308,-0.013846889522276641,-0.0030258341694396223,-0.025660913547485516,-0.000834880464114355,-0.0034822964289390876,-0.09302209592726939,-0.019074565386465,0.11622719343301804,0.009353834701490364,0.0009240329621169877,-0.02187029535101451,-0.028796037840433837,-0.02300202900837147,0.0047204445918005425,-0.07063965246017556,0.04308298281434124,0.015994694411082668,0.027434389030195173,0.029045426503081773,-0.12002667230083428,-0.3131995307000962,-0.10499814693219484,-0.14863944281905378,-0.2217025776158073,0.0124147588332351
180000.0,1,3,2,31,2,2,0,0,0,0,36864.0,35587.0,35989.0,36013.0,36164.0,31637.0,0.0,1800.0,1230.0,1200.0,1350.0,2310.0,696.5714285714221,-290.5714285714289,2,2,0.037172269204494596,771.5115034787233,0.19653038964598343,0.0038698197708425114,3075,0,0.6918443148982454,-1.3851942894421188,-0.006542208161258436,0.006569579400075168,-0.004502327326599719,-0.005771226642612534,-0.026470377787247232,0.882245127129912,0.017860091392540443,-0.004614088548523543,-0.01421776382212045,-0.005341646843919513,-0.044876622472584164,-0.08204113947697168,-0.016959954998997624,0.1235963281300863,-0.007570309233678957,-0.027563237756122856,-0.019334689035244945,0.026439742690029557,0.018479131049144212,-0.011247791571214853,-0.003832256955408167,-0.02696066809202788,0.05514823551521582,-0.003280809345206764,0.0447764971145258,0.31429498634224523,1.1263472766987896,0.12577072338243606,-0.061527347775702984,-0.07689978450707391,-0.09802335359058051
50000.0,2,1,2,22,0,0,0,0,0,0,49086.0,48614.0,44211.0,27415.0,26630.0,8551.0,2047.0,1539.0,633.0,634.0,433.0,25586.0,8154.942857142856,-3267.9428571428593,0,0,0.15095741975864024,10033.39951694672,0.6816763664726705,0.16309559523095252,13539,0,0.29891102821695537,-1.3851942894421188,0.12471004297667695,-0.02895503453691493,-0.0014058583804107516,-0.036306509364187556,-0.007150021111620166,-0.1360654250658299,-0.009834935226650798,0.01592861744677821,0.006683991486102883,-0.0012378030963695159,-0.006637278618419968,-0.12071534320883219,0.008526875479891607,0.025753265073569113,0.049389806372491005,0.027787088760920745,-0.013596306984428316,0.04827566496331646,0.1915820237823348,0.006759426412507508,0.06523522352773298,0.04640323025667239,0.049975252905810265,0.023136845655518073,0.19692080130574577,-0.07139321827819264,-0.19848535808775555,-0.03486997976850087,0.1113096411741011,0.2052883679137584,-0.004307639917830479
20000.0,2,2,2,24,0,0,0,0,0,0,13542.0,14852.0,15571.0,16584.0,17067.0,34262.0,1543.0,1262.0,1275.0,758.0,638.0,1340.0,-3178.8000000000043,97.25714285714278,0,0,0.060922961413670124,355.90729129929326,0.9322700531640085,-0.15893205339733035,17079,0,0.22633037779524137,-1.3851942894421188,0.08392979973185481,-0.011249208480128007,0.010281601373374678,0.0067983944217433236,-0.015229482130639183,-0.12500076433601662,-0.0062069228410866345,0.016661221042737092,-7.976442461716022e-05,-0.00023358307276635993,-0.008956731507879004,-0.03456790314870646,-0.004000915299784587,-0.03020154611341649,-0.025142576630432692,-0.0027184554493139843,0.07794119997002782,0.03495036613935963,0.24988016628039328,-0.03524352830764931,0.04638312080673393,-0.016103670576377804,0.05074792797598904,0.015752293528147655,0.12667132047773358,-0.12568911124940602,-0.3053761344642081,-0.013666391067230417,0.01795117719925028,0.05766072250043773,0.1201025097883218
150000.0,2,4,2,27,-2,-2,-1,-1,0,-1,12178.0,22344.0,65330.0,20333.0,8433.0,10332.0,22452.0,65676.0,20368.0,25.0,10363.0,4881.0,2741.714285714283,7832.485714285715,0,0,0.8907096746335039,23708.811532845757,0.1543878596364913,0.01827797338493932,8837,0,0.023655100731590654,-1.3851942894421188,-0.07419228174619136,-0.010181276528451058,-0.4838283041213464,-0.05034340747220578,0.12256768818291378,-0.06534501903428967,-0.008752207070878697,0.0037866207527819415,-0.021863135957098087,-0.0007839704506651227,-0.0039493809509225,0.03356020644982476,-0.012361247514134865,0.062127580653014325,-0.0322204492165287,-0.06098288330962301,-0.040525203828148205,-0.2845748356712259,-0.5560828370934848,-0.1926262859892128,0.03239380231997491,0.06463902515641708,0.005238691405219435,-0.009941369848687114,0.2658722957851674,-0.1329957134951955,-0.3252995883016551,-0.1565990957497719,-0.1630950715918317,-0.12621298654454208,-0.11247220672637927
10000.0,1,2,2,54,0,0,2,2,0,0,5186.0,8225.0,8244.0,7963.0,8134.0,9995.0,3300.0,300.0,0.0,299.0,2000.0,0.0,-671.1714285714299,317.1714285714285,2,2,0.12354444165200637,1361.5947145412495,0.7957037629570376,-0.06711043181396162,2569,0,0.6374153424466177,-1.3851942894421188,0.06863665214542533,0.023422907109741636,0.020361346193039063,-0.05320724403392165,0.08287971912691386,-0.2637901463510706,-0.04797287594321977,0.024584465629160557,0.06591345962714007,-0.000612931783984884,-0.00619352133468172,0.08356605244912664,0.03983613194078807,0.0849971858956617,-0.032345539120099236,-0.001870408498306203,0.001826902741647848,0.08781788986390693,0.1736404934555796,0.08959139076256169,0.21588770723883333,0.02562732252316105,0.04409858112492236,0.10656314095015998,0.019865031574110792,0.21280690366122035,0.5707783092007518,0.0041141637308879896,-0.004831792450826179,0.03306680564640464,0.28029967331205263
160000.0,1,3,1,59,-2,-2,-2,-2,-2,-2,-220.0,390.0,170.0,-220.0,390.0,390.0,1000.0,170.0,0.0,1000.0,390.0,390.0,-76.00000000000006,39.714285714285666,0,-2,3.274139844617092,420.1626669120743,0.0009374941406616209,-0.000474997031268555,14669,0,0.07315742706276422,-1.3851942894421188,-0.06720165864349001,0.03600854295896418,-0.004827698197588125,0.05259821021932119,-0.07366042540054764,-0.3663748414004556,-0.008346773042687645,-0.08634658009883087,0.006098595905723031,-0.008042278055845134,-0.012654161172499786,0.13378073169208413,0.01498659483834981,-0.03952063367560858,-0.08210570296355761,0.03741374034573623,0.020807102149457534,-0.020565123732092513,0.04398760278894292,0.12126052975123837,-0.11487746476494584,0.02189557645025187,0.017091699139450224,-0.020548591049827508,-0.07588259593829251,-0.11713014056832799,-0.30102304762150556,-0.24287208309038996,-0.028213932100178755,0.01905372547692173,-0.008764703399450872
